,emoji,name,edit,origin
1511,🈺,Japanese “open for business” button,"일본어 ""비즈니스를위한 열기""버튼","일본어 ""비즈니스를위한 열기""버튼"
1512,🈵,Japanese “no vacancy” button,"일본어 ""공석 없음""버튼","일본어 ""공석 없음""버튼"
1513,🔴,red circle,빨간색 동그라미,빨간색 서클
1514,🟠,orange circle,오렌지 동그라미,오렌지 서클
1515,🟡,yellow circle,노란색 동그라미,노란색 동그라미
1516,🟢,green circle,녹색 동그라미,녹색 서클
1517,🔵,blue circle,파란색 동그라미,파란색 서클
1518,🟣,purple circle,보라색 동그라미,보라색 서클
1519,🟤,brown circle,갈색 동그라미,갈색 서클
1520,⚫,black circle,검은색 동그라미,검은 동그라미
1521,⚪,white circle,흰색 동그라미,화이트 서클
1522,🟥,red square,빨간색 네모,붉은 광장
1523,🟧,orange square,주황색 네모,오렌지 스퀘어
1524,🟨,yellow square,노란색 네모,노란색 광장
1525,🟩,green square,녹색 네모,녹색 광장
1526,🟦,blue square,파란색 네모,파란색 광장
1527,🟪,purple square,보라색 네모,자주색 광장
1528,🟫,brown square,갈색 네모,갈색 광장
1529,⬛,black large square,검은색 큰 네모,검은 큰 광장
1530,⬜,white large square,흰색 큰 네모,흰색 큰 광장
1531,◼,black medium square,검은색 중간 네모,블랙 중간 광장
1532,◻,white medium square,흰색 중간 네모,흰색 중간 광장
1533,◾,black medium-small square,검은색 중간 네모,검은 색 중형 - 작은 광장
1534,◽,white medium-small square,흰색 중간 네모,흰색 중간 - 작은 광장
1535,▪,black small square,검은색 작은 네모,검은 작은 광장
1536,▫,white small square,흰색 작은 네모,흰색 작은 광장
1537,🔶,large orange diamond,큰 주황색 다이아몬드,큰 오렌지 다이아몬드
1538,🔷,large blue diamond,큰 파란색 다이아몬드,큰 푸른 다이아몬드
1539,🔸,small orange diamond,작은 주황색 다이아몬드,작은 오렌지 다이아몬드
1540,🔹,small blue diamond,작은 파란색 다이아몬드,작은 푸른 다이아몬드
1541,🔺,red triangle pointed up,빨간색 위쪽 삼각형,빨간색 삼각형이 지적되었습니다
1542,🔻,red triangle pointed down,빨간색 아래쪽 삼각형,빨간색 삼각형이 지적되었습니다
1543,💠,diamond with a dot,점이 찍힌 다이아몬드,다이아몬드가있는 다이아몬드
1544,🔘,radio button,라디오 버튼,라디오 버튼
1545,🔳,white square button,흰색 사각형 버튼,흰색 사각형 버튼
1546,🔲,black square button,검은 사각형 버튼,검은 사각형 버튼
1547,🏁,chequered flag,체크 무늬 깃발,체크 무늬 깃발
1548,🚩,triangular flag,삼각형 깃발,삼각형 플래그
1549,🎌,crossed flags,교차 깃발,교차 깃발
1550,🏴,black flag,검은색 깃발,블랙 플래그
1551,🏳,white flag,흰색 깃발,백기
1552,🏳️‍🌈,rainbow flag,무지개 깃발,무지개 깃발
1553,🏳️‍⚧️,transgender flag,트랜스 젠더 깃발,트랜스 젠더 플래그
1554,🏴‍☠️,pirate flag,해적 깃발,해적 깃발
1555,🇦🇨,flag: Ascension Island,국기 : 어센션 섬,플래그 : 승천 섬
1556,🇦🇩,flag: Andorra,국기 : 안도라,플래그 : 안도라
1557,🇦🇪,flag: United Arab Emirates,국기 : 아랍 에미레이트 연합,깃발 : 아랍 에미리트 연합
1558,🇦🇫,flag: Afghanistan,국기 : 아프가니스탄,깃발 : 아프가니스탄
1559,🇦🇬,flag: Antigua & Barbuda,국기 : 안티구아 바버다,Flag : Antigua & Barbuda.
1560,🇦🇮,flag: Anguilla,국기 : 앵 귈라,플래그 : 앵 귈라
1561,🇦🇱,flag: Albania,국기 : 알바니아,플래그 : 알바니아
1562,🇦🇲,flag: Armenia,국기 : 아르메니아,플래그 : 아르메니아
1563,🇦🇴,flag: Angola,국기 : 앙골라,플래그 : 앙골라
1564,🇦🇶,flag: Antarctica,국기 : 남극 대륙,플래그 : 남극 대륙
1565,🇦🇷,flag: Argentina,국기 : 아르헨티나,플래그 : 아르헨티나
1566,🇦🇸,flag: American Samoa,국기 : 아메리칸 사모아,깃발 : 아메리칸 사모아
1567,🇦🇹,flag: Austria,국기 : 오스트리아,플래그 : 오스트리아
1568,🇦🇺,flag: Australia,국기 : 호주,깃발 : 호주
1569,🇦🇼,flag: Aruba,국기 : 아루바,국기 : 아루바
1570,🇦🇽,flag: Åland Islands,국기 : 올란드 제도,국기 : Åland 제도
1571,🇦🇿,flag: Azerbaijan,국기 : 아제르바이잔,플래그 : 아제르바이잔
1572,🇧🇦,flag: Bosnia & Herzegovina,국기 : 보스니아 & 헤르체고비나,깃발 : 보스니아 & 헤르체고비나
1573,🇧🇧,flag: Barbados,국기 : 바베이도스,플래그 : 바베이도스
1574,🇧🇩,flag: Bangladesh,국기 : 방글라데시,플래그 : 방글라데시
1575,🇧🇪,flag: Belgium,국기 : 벨기에,깃발 : 벨기에
1576,🇧🇫,flag: Burkina Faso,국기 : 부르 키나 파소,깃발 : 부르 키나 파소
1577,🇧🇬,flag: Bulgaria,국기 : 불가리아,플래그 : 불가리아
1578,🇧🇭,flag: Bahrain,국기 : 바레인,깃발 : 바레인
1579,🇧🇮,flag: Burundi,국기 : 부룬디,Flag : 부룬디
1580,🇧🇯,flag: Benin,국기 : 베냉,깃발 : 베냉
1581,🇧🇱,flag: St. Barthélemy,국기 : 생바르텔레미,플래그 : 세인트 Barthélemy.
1582,🇧🇲,flag: Bermuda,국기 : 버뮤다,깃발 : 버뮤다
1583,🇧🇳,flag: Brunei,국기 : 브루나이,플래그 : 브루나이
1584,🇧🇴,flag: Bolivia,국기 : 볼리비아,플래그 : 볼리비아
1585,🇧🇶,flag: Caribbean Netherlands,국기 : 카리브해 네덜란드,플래그 : 카리브해 네덜란드
1586,🇧🇷,flag: Brazil,국기 : 브라질,플래그 : 브라질
1587,🇧🇸,flag: Bahamas,국기 : 바하마,플래그 : 바하마
1588,🇧🇹,flag: Bhutan,국기 : 부탄,플래그 : 부탄
1589,🇧🇻,flag: Bouvet Island,국기 : 부베 섬,Flag : Bouvet Island.
1590,🇧🇼,flag: Botswana,국기 : 보츠와나,플래그 : 보츠와나
1591,🇧🇾,flag: Belarus,국기 : 벨로루시,깃발 : 벨로루시
1592,🇧🇿,flag: Belize,국기 : 벨리즈,플래그 : 벨리즈
1593,🇨🇦,flag: Canada,국기 : 캐나다,플래그 : 캐나다
1594,🇨🇨,flag: Cocos (Keeling) Islands,국기 : 코코스 제도 섬,플래그 : 코코스 (Keeling) 섬
1595,🇨🇩,flag: Congo - Kinshasa,국기 : 콩고 킨샤샤,플래그 : 콩고 - Kinshasa.
1596,🇨🇫,flag: Central African Republic,국기 : 중앙 아프리카 공화국,국기 : 중앙 아프리카 공화국
1597,🇨🇬,flag: Congo - Brazzaville,국기 : 콩고 - 브라자빌,Flag : 콩고 - 브라자빌
1598,🇨🇭,flag: Switzerland,국기 : 스위스,플래그 : 스위스
1599,🇨🇮,flag: Côte d’Ivoire,국기 : 아이보리 해안,Flag : 아이보리 해안
1600,🇨🇰,flag: Cook Islands,국기 : 쿡 제도,깃발 : 쿡 제도
1601,🇨🇱,flag: Chile,국기 : 칠레,깃발 : 칠레
1602,🇨🇲,flag: Cameroon,국기 : 카메룬,플래그 : 카메룬
1603,🇨🇳,flag: China,국기 : 중국,국기 : 중국
1604,🇨🇴,flag: Colombia,국기 : 콜롬비아,플래그 : 콜롬비아
1605,🇨🇵,flag: Clipperton Island,국기 : 클리퍼턴 섬,Flag : Clipperton Island.
1606,🇨🇷,flag: Costa Rica,국기 : 코스타리카,Flag : 코스타리카
1607,🇨🇺,flag: Cuba,국기 : 쿠바,플래그 : 쿠바
1608,🇨🇻,flag: Cape Verde,국기 : 케이프 베르데,깃발 : 케이프 베르데
1609,🇨🇼,flag: Curaçao,국기 : 퀴라소,플래그 : Curaçao.
1610,🇨🇽,flag: Christmas Island,국기 : 크리스마스 섬,플래그 : 크리스마스 섬
1611,🇨🇾,flag: Cyprus,국기 : 키프로스,플래그 : 키프로스
1612,🇨🇿,flag: Czechia,국기 : 체코,플래그 : 체코
1613,🇩🇪,flag: Germany,국기 : 독일,플래그 : 독일
1614,🇩🇬,flag: Diego Garcia,국기 : 디에고가르시아,플래그 : Diego Garcia.
1615,🇩🇯,flag: Djibouti,국기 : 지부티,깃발 : 지부티
1616,🇩🇰,flag: Denmark,국기 : 덴마크,플래그 : 덴마크
1617,🇩🇲,flag: Dominica,국기 : 도미니카,플래그 : 도미니카
1618,🇩🇴,flag: Dominican Republic,국기 : 도미니카 공화국,국기 : 도미니카 공화국
1619,🇩🇿,flag: Algeria,국기 : 알제리,플래그 : 알제리
1620,🇪🇦,flag: Ceuta & Melilla,국기 : 세우타 & 멜리 딜,국기 : 세우타 & 멜리 딜
1621,🇪🇨,flag: Ecuador,국기 : 에콰도르,플래그 : 에콰도르
1622,🇪🇪,flag: Estonia,국기 : 에스토니아,플래그 : 에스토니아
1623,🇪🇬,flag: Egypt,국기 : 이집트,플래그 : 이집트
1624,🇪🇭,flag: Western Sahara,국기 : 서부 사하라,깃발 : 서부 사하라
1625,🇪🇷,flag: Eritrea,국기 : 에리트레아,깃발 : 에리트레아
1626,🇪🇸,flag: Spain,국기 : 스페인,플래그 : 스페인
1627,🇪🇹,flag: Ethiopia,국기 : 에티오피아,깃발 : 에티오피아
1628,🇪🇺,flag: European Union,국기 : 유럽 연합,국기 : 유럽 연합
1629,🇫🇮,flag: Finland,국기 : 핀란드,플래그 : 핀란드
1630,🇫🇯,flag: Fiji,국기 : 피지,Flag : 피지
1631,🇫🇰,flag: Falkland Islands,국기 : 포클랜드 제도,Flag : 포클랜드 제도
1632,🇫🇲,flag: Micronesia,국기 : 미크로네시아,플래그 : 미크로네시아
1633,🇫🇴,flag: Faroe Islands,국기 : 페로 제도,깃발 : 페로 제도
1634,🇫🇷,flag: France,국기 : 프랑스,플래그 : 프랑스
1635,🇬🇦,flag: Gabon,국기 : 가봉,깃발 : 가봉
1636,🇬🇧,flag: United Kingdom,국기 : 영국,국기 : 영국
1637,🇬🇩,flag: Grenada,국기 : 그레나다,깃발 : 그레나다
1638,🇬🇪,flag: Georgia,국기 : 그루지야,플래그 : 그루지야
1639,🇬🇫,flag: French Guiana,국기 : 프랑스 령 기아나,깃발 : 프랑스 령 기아나
1640,🇬🇬,flag: Guernsey,국기 : 건지,플래그 : Guernsey.
1641,🇬🇭,flag: Ghana,국기 : 가나,플래그 : 가나
1642,🇬🇮,flag: Gibraltar,국기 : 지브롤터,플래그 : 지브롤터
1643,🇬🇱,flag: Greenland,국기 : 그린란드,Flag : 그린란드
1644,🇬🇲,flag: Gambia,국기 : 감비아,깃발 : 감비아
1645,🇬🇳,flag: Guinea,국기 : 기니아,플래그 : 기니아
1646,🇬🇵,flag: Guadeloupe,국기 : 과들루프,깃발 : 과들루프
1647,🇬🇶,flag: Equatorial Guinea,국기 : 적도 기니,깃발 : 적도 기니
1648,🇬🇷,flag: Greece,국기 : 그리스,플래그 : 그리스
1649,🇬🇸,flag: South Georgia & South Sandwich Islands,국기 : 사우스 조지아 & 사우스 샌드위치 제도,깃발 : 사우스 조지아 & 사우스 샌드위치 제도
1650,🇬🇹,flag: Guatemala,국기 : 과테말라,플래그 : 과테말라
1651,🇬🇺,flag: Guam,국기 : 괌,깃발 : 괌
1652,🇬🇼,flag: Guinea-Bissau,국기 : 기니 비사우,깃발 : 기니 비사우
1653,🇬🇾,flag: Guyana,국기 : 가이아나,플래그 : 가이아나
1654,🇭🇰,flag: Hong Kong SAR China,국기 : 홍콩,깃발 : 홍콩 SAR 중국
1655,🇭🇲,flag: Heard & McDonald Islands,국기 : 허드 맥도날드 제도,깃발 : 듣고 & 맥도날드 제도
1656,🇭🇳,flag: Honduras,국기 : 온두라스,깃발 : 온두라스
1657,🇭🇷,flag: Croatia,국기 : 크로아티아,플래그 : 크로아티아
1658,🇭🇹,flag: Haiti,국기 : 아이티,깃발 : 아이티
1659,🇭🇺,flag: Hungary,국기 : 헝가리,플래그 : 헝가리
1660,🇮🇨,flag: Canary Islands,국기 : 카나리아 제도,국기 : 카나리아 제도
1661,🇮🇩,flag: Indonesia,국기 : 인도네시아,플래그 : 인도네시아
1662,🇮🇪,flag: Ireland,국기 : 아일랜드,깃발 : 아일랜드
1663,🇮🇱,flag: Israel,국기 : 이스라엘,플래그 : 이스라엘
1664,🇮🇲,flag: Isle of Man,국기 : 아일 맨,깃발 : 아일 맨
1665,🇮🇳,flag: India,국기 : 인도,국기 : 인도
1666,🇮🇴,flag: British Indian Ocean Territory,국기 : 영국 인도양 영토,플래그 : 영국 인도양 영토
1667,🇮🇶,flag: Iraq,국기 : 이라크,플래그 : 이라크
1668,🇮🇷,flag: Iran,국기 :이란,깃발 :이란
1669,🇮🇸,flag: Iceland,국기 : 아이슬란드,플래그 : 아이슬란드
1670,🇮🇹,flag: Italy,국기 : 이탈리아,플래그 : 이탈리아
1671,🇯🇪,flag: Jersey,국기 : 저지,깃발 : 저지
1672,🇯🇲,flag: Jamaica,국기 : 자메이카,플래그 : 자메이카
1673,🇯🇴,flag: Jordan,국기 : 요르단,플래그 : 요르단
1674,🇯🇵,flag: Japan,국기 : 일본,플래그 : 일본
1675,🇰🇪,flag: Kenya,국기 : 케냐,플래그 : 케냐
1676,🇰🇬,flag: Kyrgyzstan,국기 : 키르기스스탄,깃발 : 키르기스스탄
1677,🇰🇭,flag: Cambodia,국기 : 캄보디아,플래그 : 캄보디아
1678,🇰🇮,flag: Kiribati,국기 : 키리바시,깃발 : 키리바시
1679,🇰🇲,flag: Comoros,국기 : 코모로,플래그 : 코모로
1680,🇰🇳,flag: St. Kitts & Nevis,국기 : 세인트 키츠 & 네비스,깃발 : 세인트 키츠 & 네비스
1681,🇰🇵,flag: North Korea,국기 : 북한,깃발 : 북한
1682,🇰🇷,flag: South Korea,국기 : 한국,국기 : 한국
1683,🇰🇼,flag: Kuwait,국기 : 쿠웨이트,깃발 : 쿠웨이트
1684,🇰🇾,flag: Cayman Islands,국기 : 케이맨 제도,플래그 : 케이맨 제도
1685,🇰🇿,flag: Kazakhstan,국기 : 카자흐스탄,플래그 : 카자흐스탄
1686,🇱🇦,flag: Laos,국기 : 라오스,플래그 : 라오스
1687,🇱🇧,flag: Lebanon,국기 : 레바논,플래그 : 레바논
1688,🇱🇨,flag: St. Lucia,국기 : 세인트 루시아,깃발 : 세인트 루시아
1689,🇱🇮,flag: Liechtenstein,국기 : 리히텐슈타인,깃발 : 리히텐슈타인
1690,🇱🇰,flag: Sri Lanka,국기 : 스리랑카,플래그 : 스리랑카
1691,🇱🇷,flag: Liberia,국기 : 라이베리아,국기 : 라이베리아
1692,🇱🇸,flag: Lesotho,국기 : 레소토,깃발 : 레소토
1693,🇱🇹,flag: Lithuania,국기 : 리투아니아,플래그 : 리투아니아
1694,🇱🇺,flag: Luxembourg,국기 : 룩셈부르크,플래그 : 룩셈부르크
1695,🇱🇻,flag: Latvia,국기 : 라트비아,플래그 : 라트비아
1696,🇱🇾,flag: Libya,국기 : 리비아,플래그 : 리비아
1697,🇲🇦,flag: Morocco,국기 : 모로코,플래그 : 모로코
1698,🇲🇨,flag: Monaco,국기 : 모나코,플래그 : 모나코
1699,🇲🇩,flag: Moldova,국기 : 몰르 더바,플래그 : 몰르 더바
1700,🇲🇪,flag: Montenegro,국기 : 몬테네그로,깃발 : 몬테네그로
1701,🇲🇫,flag: St. Martin,국기 : 세인트 마틴,깃발 : 세인트 마틴
1702,🇲🇬,flag: Madagascar,국기 : 마다가스카르,Flag : 마다가스카르
1703,🇲🇭,flag: Marshall Islands,국기 : 마샬 군도,깃발 : 마샬 군도
1704,🇲🇰,flag: North Macedonia,국기 : 북마케도니아,깃발 : North Macedonia.
1705,🇲🇱,flag: Mali,국기 : 말리,깃발 : 말리
1706,🇲🇲,flag: Myanmar (Burma),국기 : 미얀마 (버마),깃발 : 미얀마 (버마)
1707,🇲🇳,flag: Mongolia,국기 : 몽골,깃발 : 몽골
1708,🇲🇴,flag: Macao SAR China,국기 : 마카오,깃발 : 마카오 SAR 중국
1709,🇲🇵,flag: Northern Mariana Islands,국기 : 북부 마리아나 제도,국기 : 북부 마리아나 제도
1710,🇲🇶,flag: Martinique,국기 : 마르티니크,플래그 : 마르티니크
1711,🇲🇷,flag: Mauritania,국기 : 모리타니아,플래그 : 모리타니아
1712,🇲🇸,flag: Montserrat,국기 : 몬세 라트,플래그 : 몬세 라트
1713,🇲🇹,flag: Malta,국기 : 몰타,플래그 : 몰타
1714,🇲🇺,flag: Mauritius,국기 : 모리셔스,플래그 : 모리셔스
1715,🇲🇻,flag: Maldives,국기 : 몰디브,플래그 : 몰디브
1716,🇲🇼,flag: Malawi,국기 : 말라위,플래그 : 말라위
1717,🇲🇽,flag: Mexico,국기 : 멕시코,국기 : 멕시코
1718,🇲🇾,flag: Malaysia,국기 : 말레이시아,깃발 : 말레이시아
1719,🇲🇿,flag: Mozambique,국기 : 모잠비크,플래그 : 모잠비크
1720,🇳🇦,flag: Namibia,국기 : 나미비아,플래그 : 나미비아
1721,🇳🇨,flag: New Caledonia,국기 : 뉴 칼레도니아,국기 : 뉴 칼레도니아
1722,🇳🇪,flag: Niger,국기 : 니제르,플래그 : 니제르
1723,🇳🇫,flag: Norfolk Island,국기 : 노퍽 섬,깃발 : 노퍽 섬
1724,🇳🇬,flag: Nigeria,국기 : 나이지리아,플래그 : 나이지리아
1725,🇳🇮,flag: Nicaragua,국기 : 니카라과,플래그 : 니카라과
1726,🇳🇱,flag: Netherlands,국기 : 네덜란드,플래그 : 네덜란드
1727,🇳🇴,flag: Norway,국기 : 노르웨이,플래그 : 노르웨이
1728,🇳🇵,flag: Nepal,국기 : 네팔,플래그 : 네팔
1729,🇳🇷,flag: Nauru,국기 : 나우루,깃발 : 나우루
1730,🇳🇺,flag: Niue,국기 : 니우에,플래그 : 니우에
1731,🇳🇿,flag: New Zealand,국기 : 뉴질랜드,깃발 : 뉴질랜드
1732,🇴🇲,flag: Oman,국기 : 오만,플래그 : 오만
1733,🇵🇦,flag: Panama,국기 : 파나마,플래그 : 파나마
1734,🇵🇪,flag: Peru,국기 : 페루,플래그 : 페루
1735,🇵🇫,flag: French Polynesia,국기 : 프랑스 령 폴리네시아,플래그 : 프랑스 령 폴리네시아
1736,🇵🇬,flag: Papua New Guinea,국기 : 파푸아 뉴기니,깃발 : 파푸아 뉴기니
1737,🇵🇭,flag: Philippines,국기 : 필리핀,Flag : 필리핀
1738,🇵🇰,flag: Pakistan,국기 : 파키스탄,플래그 : 파키스탄
1739,🇵🇱,flag: Poland,국기 : 폴란드,플래그 : 폴란드
1740,🇵🇲,flag: St. Pierre & Miquelon,국기 : 생피에르 미클롱,Flag : St. Pierre & Miquelon.
1741,🇵🇳,flag: Pitcairn Islands,국기 : 피트케인 제도,플래그 : Pitcairn Islands.
1742,🇵🇷,flag: Puerto Rico,국기 : 푸에르토 리코,플래그 : 푸에르토 리코
1743,🇵🇸,flag: Palestinian Territories,국기 : 팔레스타인 영토,깃발 : 팔레스타인 영토
1744,🇵🇹,flag: Portugal,국기 : 포르투갈,플래그 : 포르투갈
1745,🇵🇼,flag: Palau,국기 : 팔라우,플래그 : 팔라우
1746,🇵🇾,flag: Paraguay,국기 : 파라과이,플래그 : 파라과이
1747,🇶🇦,flag: Qatar,국기 : 카타르,플래그 : 카타르
1748,🇷🇪,flag: Réunion,국기 : 회의,플래그 : 회의
1749,🇷🇴,flag: Romania,국기 : 루마니아,국기 : 루마니아
1750,🇷🇸,flag: Serbia,국기 : 세르비아,플래그 : 세르비아
1751,🇷🇺,flag: Russia,국기 : 러시아,플래그 : 러시아
1752,🇷🇼,flag: Rwanda,국기 : 르완다,플래그 : 르완다
1753,🇸🇦,flag: Saudi Arabia,국기 : 사우디 아라비아,Flag : 사우디 아라비아
1754,🇸🇧,flag: Solomon Islands,국기 : 솔로몬 제도,국기 : 솔로몬 제도
1755,🇸🇨,flag: Seychelles,국기 : 세이셸,플래그 : 세이셸
1756,🇸🇩,flag: Sudan,국기 : 수단,Flag : 수단
1757,🇸🇪,flag: Sweden,국기 : 스웨덴,플래그 : 스웨덴
1758,🇸🇬,flag: Singapore,국기 : 싱가포르,깃발 : 싱가포르
1759,🇸🇭,flag: St. Helena,국기 : 세인트 헬레나,플래그 : St. Helena.
1760,🇸🇮,flag: Slovenia,국기 : 슬로베니아,플래그 : 슬로베니아
1761,🇸🇯,flag: Svalbard & Jan Mayen,국기 : 스발바르제도-얀마웬섬,Flag : Svalbard & Jan Mayen.
1762,🇸🇰,flag: Slovakia,국기 : 슬로바키아,플래그 : 슬로바키아
1763,🇸🇱,flag: Sierra Leone,국기 : 시에라 리온,깃발 : 시에라 리온
1764,🇸🇲,flag: San Marino,국기 : 산 마리노,깃발 : 산 마리노
1765,🇸🇳,flag: Senegal,국기 : 세네갈,깃발 : 세네갈
1766,🇸🇴,flag: Somalia,국기 : 소말리아,플래그 : 소말리아
1767,🇸🇷,flag: Suriname,국기 : 수리남,플래그 : 수리남
1768,🇸🇸,flag: South Sudan,국기 : 남수단,Flag : South Sudan.
1769,🇸🇹,flag: São Tomé & Príncipe,국기 : 상투메프린시페,깃발 : 상투 메 & Príncipe.
1770,🇸🇻,flag: El Salvador,국기 : 엘살바도르,깃발 : 엘살바도르
1771,🇸🇽,flag: Sint Maarten,국기 : 신트마르턴,Flag : 세인트 Maarten.
1772,🇸🇾,flag: Syria,국기 : 시리아,플래그 : 시리아
1773,🇸🇿,flag: Eswatini,국기 : 에스와티니,플래그 : 스웨이트에서
1774,🇹🇦,flag: Tristan da Cunha,국기 : 트리스탄다쿠나,플래그 : Tristan Da Cunha.
1775,🇹🇨,flag: Turks & Caicos Islands,국기 : 터크스 & 카이 코스 제도,Flag : 터크 스 & 카이 코스 제도
1776,🇹🇩,flag: Chad,국기 : 차드,플래그 : 차드
1777,🇹🇫,flag: French Southern Territories,국기 : 프랑스 남부 지역,국기 : 프랑스 남부 지역
1778,🇹🇬,flag: Togo,국기 : 토고,깃발 : 토고
1779,🇹🇭,flag: Thailand,국기 : 태국,국기 : 태국
1780,🇹🇯,flag: Tajikistan,국기 : 타지키스탄,깃발 : 타지키스탄
1781,🇹🇰,flag: Tokelau,국기 : 토켈라우,플래그 : Tokelau.
1782,🇹🇱,flag: Timor-Leste,국기 : 동티모르,플래그 : TIMOR-READ.
1783,🇹🇲,flag: Turkmenistan,국기 : 투르크 메니스탄,플래그 : 투르크 메니스탄
1784,🇹🇳,flag: Tunisia,국기 : 튀니지,플래그 : 튀니지
1785,🇹🇴,flag: Tonga,국기 : 통가,플래그 : 통가
1786,🇹🇷,flag: Turkey,국기 : 터키,플래그 : 터키
1787,🇹🇹,flag: Trinidad & Tobago,국기 : 트리니다드 & 토바고,Flag : 트리니다드 & 토바고
1788,🇹🇻,flag: Tuvalu,국기 : 투발루,플래그 : 투발루
1789,🇹🇼,flag: Taiwan,국기 : 대만,플래그 : 대만
1790,🇹🇿,flag: Tanzania,국기 : 탄자니아,국기 : 탄자니아
1791,🇺🇦,flag: Ukraine,국기 : 우크라이나,플래그 : 우크라이나
1792,🇺🇬,flag: Uganda,국기 : 우간다,플래그 : 우간다
1793,🇺🇲,flag: U.S. Outlying Islands,국기 : 미국령 해외 제도,플래그 : 미국 외곽 섬
1794,🇺🇳,flag: United Nations,국기 : 유엔,Flag : 유엔
1795,🇺🇸,flag: United States,국기 : 미국,플래그 : 미국
1796,🇺🇾,flag: Uruguay,국기 : 우루과이,플래그 : 우루과이
1797,🇺🇿,flag: Uzbekistan,국기 : 우즈베키스탄,깃발 : 우즈베키스탄
1798,🇻🇦,flag: Vatican City,국기 : 바티칸 시티,Flag : 바티칸 시티
1799,🇻🇨,flag: St. Vincent & Grenadines,국기 : 세인트 빈센트 & 그레나딘,플래그 : 세인트 빈센트 & 그레나딘
1800,🇻🇪,flag: Venezuela,국기 : 베네수엘라,플래그 : 베네수엘라
1801,🇻🇬,flag: British Virgin Islands,국기 : 영국령 버진 제도,깃발 : 영국령 버진 제도
1802,🇻🇮,flag: U.S. Virgin Islands,국기 : 미국령 버진 제도,깃발 : 미국령 버진 제도
1803,🇻🇳,flag: Vietnam,국기 : 베트남,플래그 : 베트남
1804,🇻🇺,flag: Vanuatu,국기 : 바누아투,플래그 : 바누아투
1805,🇼🇫,flag: Wallis & Futuna,국기 : 왈리스 푸투나,Flag : Wallis & Futuna.
1806,🇼🇸,flag: Samoa,국기 : 사모아,플래그 : 사모아
1807,🇽🇰,flag: Kosovo,국기 : 코소보,깃발 : 코소보
1808,🇾🇪,flag: Yemen,국기 : 예멘,플래그 : 예멘
1809,🇾🇹,flag: Mayotte,국기 : 마요트,플래그 : Mayotte.
1810,🇿🇦,flag: South Africa,국기 : 남아프리카 공화국,깃발 : 남아프리카 공화국
1811,🇿🇲,flag: Zambia,국기 : 잠비아,플래그 : 잠비아
1812,🇿🇼,flag: Zimbabwe,국기 : 짐바브웨,플래그 : 짐바브웨
1813,🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag: England,국기 : 잉글랜드,플래그 : 잉글랜드
1814,🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag: Scotland,국기 : 스코틀랜드,국기 : 스코틀랜드
1815,🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag: Wales,국기 : 웨일즈,플래그 : 웨일즈
